C:\Users\Ranit\Anaconda3\python.exe E:/StudyFIle/MLProject/CharSCNN-theano-1/scnn.py
C:\Users\Ranit\Anaconda3\lib\site-packages\sklearn\cross_validation.py:44: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)
counter#195 epoch: 2, test mean loss=0.459389992617586, test accuracy=0.7805000000000001

counter#196 epoch: 2, test mean loss=0.4572377768520882, test accuracy=0.784

counter#197 epoch: 2, test mean loss=0.45911549774468385, test accuracy=0.7855000000000001

counter#198 epoch: 2, test mean loss=0.4561782012499479, test accuracy=0.784

counter#199 epoch: 2, test mean loss=0.45671109034162444, test accuracy=0.7835000000000001

counter#200 epoch: 2, test mean loss=0.45362531064636374, test accuracy=0.7905

counter#201 epoch: 2, test mean loss=0.45400002521358757, test accuracy=0.791

counter#202 epoch: 2, test mean loss=0.4534771671874255, test accuracy=0.7925

counter#203 epoch: 2, test mean loss=0.45466696586038635, test accuracy=0.7935000000000001

counter#204 epoch: 2, test mean loss=0.45255574412783417, test accuracy=0.793

counter#205 epoch: 2, test mean loss=0.45208203321682705, test accuracy=0.7899999999999999

counter#206 epoch: 2, test mean loss=0.4517505283829685, test accuracy=0.7935000000000001

counter#207 epoch: 2, test mean loss=0.45369546356742135, test accuracy=0.7895000000000001

counter#208 epoch: 2, test mean loss=0.4554534701616245, test accuracy=0.7845

counter#209 epoch: 2, test mean loss=0.4526753876841165, test accuracy=0.7925000000000001

counter#210 epoch: 2, test mean loss=0.4508894647122176, test accuracy=0.7940000000000002

counter#211 epoch: 2, test mean loss=0.4538265203125963, test accuracy=0.7840000000000001

counter#212 epoch: 2, test mean loss=0.4495061211101029, test accuracy=0.7910000000000001

counter#213 epoch: 2, test mean loss=0.45392954666155194, test accuracy=0.7869999999999999

counter#214 epoch: 2, test mean loss=0.4553595013555939, test accuracy=0.7855

counter#215 epoch: 2, test mean loss=0.45097018877624284, test accuracy=0.7865

counter#216 epoch: 2, test mean loss=0.44853771121954145, test accuracy=0.7949999999999999

counter#217 epoch: 2, test mean loss=0.44782262082046403, test accuracy=0.7969999999999999

counter#218 epoch: 2, test mean loss=0.44929108114485883, test accuracy=0.7885000000000001

counter#219 epoch: 2, test mean loss=0.4489553125362951, test accuracy=0.791

counter#220 epoch: 2, test mean loss=0.4535138686244108, test accuracy=0.7855000000000002

counter#221 epoch: 2, test mean loss=0.45403451102037246, test accuracy=0.7855000000000001

counter#222 epoch: 2, test mean loss=0.44902840818641804, test accuracy=0.7905

counter#223 epoch: 2, test mean loss=0.4480874575710289, test accuracy=0.7889999999999999

counter#224 epoch: 2, test mean loss=0.44611040203411534, test accuracy=0.7955000000000001

counter#225 epoch: 2, test mean loss=0.44559001789901975, test accuracy=0.796

counter#226 epoch: 2, test mean loss=0.445617404877286, test accuracy=0.7925000000000001

counter#227 epoch: 2, test mean loss=0.44469663075539245, test accuracy=0.7915

counter#228 epoch: 2, test mean loss=0.44494939795632593, test accuracy=0.796

counter#229 epoch: 2, test mean loss=0.44121492441985966, test accuracy=0.8005000000000001

counter#230 epoch: 2, test mean loss=0.44033542465727465, test accuracy=0.8005000000000001

counter#231 epoch: 2, test mean loss=0.4411667293978686, test accuracy=0.7985

counter#232 epoch: 2, test mean loss=0.4448253868186711, test accuracy=0.7950000000000002

counter#233 epoch: 2, test mean loss=0.4399058509757575, test accuracy=0.8039999999999999

counter#234 epoch: 2, test mean loss=0.4395197811834762, test accuracy=0.8055

counter#235 epoch: 2, test mean loss=0.4395647739267593, test accuracy=0.805

counter#236 epoch: 2, test mean loss=0.44144758438837545, test accuracy=0.8065

counter#237 epoch: 2, test mean loss=0.43973247767906287, test accuracy=0.8035

counter#238 epoch: 2, test mean loss=0.4399420217103974, test accuracy=0.7964999999999999

counter#239 epoch: 2, test mean loss=0.43950576522271073, test accuracy=0.7955

counter#240 epoch: 2, test mean loss=0.43892277424674103, test accuracy=0.8024999999999999

counter#241 epoch: 2, test mean loss=0.4385584161604702, test accuracy=0.8019999999999999

counter#242 epoch: 2, test mean loss=0.4369260090695616, test accuracy=0.8019999999999999

counter#243 epoch: 2, test mean loss=0.43687950404107945, test accuracy=0.8015000000000001

counter#244 epoch: 2, test mean loss=0.43645364098423506, test accuracy=0.7994999999999999

counter#245 epoch: 2, test mean loss=0.43545414429060686, test accuracy=0.8029999999999999

counter#246 epoch: 2, test mean loss=0.43691994325131206, test accuracy=0.7989999999999998

counter#247 epoch: 2, test mean loss=0.44205233610610595, test accuracy=0.8020000000000002

counter#248 epoch: 2, test mean loss=0.4414354496868721, test accuracy=0.8010000000000002

counter#249 epoch: 2, test mean loss=0.4370232201328437, test accuracy=0.8049999999999999

counter#250 epoch: 2, test mean loss=0.4369128543833779, test accuracy=0.8035000000000002

counter#251 epoch: 2, test mean loss=0.44216175815892056, test accuracy=0.8005000000000002

counter#252 epoch: 2, test mean loss=0.4420623698883424, test accuracy=0.8020000000000002

counter#253 epoch: 2, test mean loss=0.4367011073496336, test accuracy=0.798

counter#254 epoch: 2, test mean loss=0.4349234506024871, test accuracy=0.8

counter#255 epoch: 2, test mean loss=0.4333706815095656, test accuracy=0.804

counter#256 epoch: 2, test mean loss=0.43217234740866495, test accuracy=0.8055

counter#257 epoch: 2, test mean loss=0.4319564236522323, test accuracy=0.8009999999999999

counter#258 epoch: 2, test mean loss=0.43612617503904066, test accuracy=0.7995000000000001

counter#259 epoch: 2, test mean loss=0.4372316749893928, test accuracy=0.797

counter#260 epoch: 2, test mean loss=0.44325343756687846, test accuracy=0.7975000000000001

counter#261 epoch: 2, test mean loss=0.4492240030136008, test accuracy=0.7909999999999999

counter#262 epoch: 2, test mean loss=0.44576121087179016, test accuracy=0.7914999999999999

counter#263 epoch: 2, test mean loss=0.4354327255445984, test accuracy=0.799

counter#264 epoch: 2, test mean loss=0.43539267842450335, test accuracy=0.799

counter#265 epoch: 2, test mean loss=0.4341348062472682, test accuracy=0.796

counter#266 epoch: 2, test mean loss=0.43547433658732937, test accuracy=0.7985

counter#267 epoch: 2, test mean loss=0.4321278161281278, test accuracy=0.8014999999999999

counter#268 epoch: 2, test mean loss=0.4323317679699145, test accuracy=0.798

counter#269 epoch: 2, test mean loss=0.43472570970996066, test accuracy=0.8000000000000002

counter#270 epoch: 2, test mean loss=0.4481513812586093, test accuracy=0.7935

counter#271 epoch: 2, test mean loss=0.4432894472840224, test accuracy=0.7955

counter#272 epoch: 2, test mean loss=0.4347844192470166, test accuracy=0.797

counter#273 epoch: 2, test mean loss=0.4335687034280885, test accuracy=0.7979999999999999

counter#274 epoch: 2, test mean loss=0.4340719923613404, test accuracy=0.7975000000000001

counter#275 epoch: 2, test mean loss=0.4341180590988357, test accuracy=0.7989999999999999

counter#276 epoch: 2, test mean loss=0.43440289074623983, test accuracy=0.7979999999999999

counter#277 epoch: 2, test mean loss=0.4340017687767149, test accuracy=0.7945

counter#278 epoch: 2, test mean loss=0.4348225471311208, test accuracy=0.7979999999999998

counter#279 epoch: 2, test mean loss=0.4346242580278769, test accuracy=0.7969999999999999

counter#280 epoch: 2, test mean loss=0.43523798888568777, test accuracy=0.8014999999999999

counter#281 epoch: 2, test mean loss=0.4400694413345475, test accuracy=0.8044999999999998

counter#282 epoch: 2, test mean loss=0.4389447639016743, test accuracy=0.8024999999999999

counter#283 epoch: 2, test mean loss=0.4363616193776593, test accuracy=0.8014999999999999

counter#284 epoch: 2, test mean loss=0.43336983149077135, test accuracy=0.7975

counter#285 epoch: 2, test mean loss=0.4357347593788002, test accuracy=0.8019999999999999

counter#286 epoch: 2, test mean loss=0.43361625880850374, test accuracy=0.8045

counter#287 epoch: 2, test mean loss=0.43544320046627105, test accuracy=0.8045000000000002

counter#288 epoch: 2, test mean loss=0.4341291879697162, test accuracy=0.8054999999999998

counter#289 epoch: 2, test mean loss=0.4333193392593338, test accuracy=0.8049999999999999

counter#290 epoch: 2, test mean loss=0.4313188770783235, test accuracy=0.8049999999999999

counter#291 epoch: 2, test mean loss=0.4321263851477931, test accuracy=0.8019999999999998

counter#292 epoch: 2, test mean loss=0.4314290665094929, test accuracy=0.8014999999999999

counter#293 epoch: 2, test mean loss=0.4303878897361472, test accuracy=0.8014999999999999

counter#294 epoch: 2, test mean loss=0.4284915387091848, test accuracy=0.8025

