C:\Users\Ranit\Anaconda3\python.exe E:/StudyFIle/MLProject/CharSCNN-theano-1/charscnn.py
C:\Users\Ranit\Anaconda3\lib\site-packages\sklearn\cross_validation.py:44: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)
counter#153  epoch: 1, test mean loss=0.5473837957215708, test accuracy=0.7069999999999999

counter#154  epoch: 1, test mean loss=0.5524169625363278, test accuracy=0.7040000000000001

counter#155  epoch: 1, test mean loss=0.5497021250723464, test accuracy=0.7054999999999998

counter#156  epoch: 1, test mean loss=0.5566131015381051, test accuracy=0.6994999999999998

counter#157  epoch: 1, test mean loss=0.547970492739011, test accuracy=0.7199999999999995

counter#158  epoch: 1, test mean loss=0.5396996098180676, test accuracy=0.7124999999999999

counter#159  epoch: 1, test mean loss=0.5433003699533533, test accuracy=0.7144999999999995

counter#160  epoch: 1, test mean loss=0.5441779106018768, test accuracy=0.7154999999999997

counter#161  epoch: 1, test mean loss=0.5451548661015585, test accuracy=0.708

counter#162  epoch: 1, test mean loss=0.5375495319809095, test accuracy=0.7179999999999999

counter#163  epoch: 1, test mean loss=0.5402689915197114, test accuracy=0.7134999999999998

counter#164  epoch: 1, test mean loss=0.541366241966478, test accuracy=0.7134999999999999

counter#165  epoch: 1, test mean loss=0.5523149980011174, test accuracy=0.7004999999999996

counter#166  epoch: 1, test mean loss=0.5485361607919497, test accuracy=0.7029999999999995

counter#167  epoch: 1, test mean loss=0.5401154187165745, test accuracy=0.713

counter#168  epoch: 1, test mean loss=0.5487279843161551, test accuracy=0.7009999999999995

counter#169  epoch: 1, test mean loss=0.5434972199119769, test accuracy=0.7034999999999997

counter#170  epoch: 1, test mean loss=0.5346977246916572, test accuracy=0.7219999999999996

counter#171  epoch: 1, test mean loss=0.5363229214984915, test accuracy=0.7199999999999995

counter#172  epoch: 1, test mean loss=0.5348535669728766, test accuracy=0.7174999999999997

counter#173  epoch: 1, test mean loss=0.5360507672590855, test accuracy=0.7164999999999998

counter#174  epoch: 1, test mean loss=0.5463999031373317, test accuracy=0.71

counter#175  epoch: 1, test mean loss=0.5534960958594385, test accuracy=0.7009999999999996

counter#176  epoch: 1, test mean loss=0.5571764547324338, test accuracy=0.6904999999999996

counter#177  epoch: 1, test mean loss=0.5503483019714839, test accuracy=0.7029999999999998

counter#178  epoch: 1, test mean loss=0.5418307806774407, test accuracy=0.7204999999999998

counter#179  epoch: 1, test mean loss=0.5363530448844915, test accuracy=0.7224999999999997

counter#180  epoch: 1, test mean loss=0.5381352949643714, test accuracy=0.7179999999999999

counter#181  epoch: 1, test mean loss=0.5368068830773087, test accuracy=0.7194999999999996

counter#182  epoch: 1, test mean loss=0.5344882229853698, test accuracy=0.7204999999999997

counter#183  epoch: 1, test mean loss=0.5373069070678554, test accuracy=0.7189999999999999

counter#184  epoch: 1, test mean loss=0.5323563208591402, test accuracy=0.7215

counter#185  epoch: 1, test mean loss=0.5309241165124212, test accuracy=0.7185000000000002

counter#186  epoch: 1, test mean loss=0.5301273595268766, test accuracy=0.7185000000000002

counter#187  epoch: 1, test mean loss=0.530495291280129, test accuracy=0.7250000000000003

counter#188  epoch: 1, test mean loss=0.5293606952570219, test accuracy=0.7225000000000001

counter#189  epoch: 1, test mean loss=0.5300288920470931, test accuracy=0.7245000000000001

counter#190  epoch: 1, test mean loss=0.529550030426364, test accuracy=0.7220000000000002

counter#191  epoch: 1, test mean loss=0.5288624148575425, test accuracy=0.7260000000000002

counter#192  epoch: 1, test mean loss=0.5286837537676283, test accuracy=0.7235000000000003

counter#193  epoch: 1, test mean loss=0.5291562885631577, test accuracy=0.7175000000000001

counter#194  epoch: 1, test mean loss=0.5286734979341893, test accuracy=0.7155000000000002

counter#195  epoch: 1, test mean loss=0.5278990234364044, test accuracy=0.7195000000000001

counter#196  epoch: 1, test mean loss=0.5275302508201256, test accuracy=0.7195000000000001

counter#197  epoch: 1, test mean loss=0.5275220408800686, test accuracy=0.7160000000000002

counter#198  epoch: 1, test mean loss=0.5271942649693222, test accuracy=0.7170000000000002

counter#199  epoch: 1, test mean loss=0.5263743261761022, test accuracy=0.7300000000000001

counter#200  epoch: 1, test mean loss=0.5272876455363013, test accuracy=0.7160000000000001

counter#201  epoch: 1, test mean loss=0.5273890695897407, test accuracy=0.7150000000000002

counter#202  epoch: 1, test mean loss=0.5269377840681687, test accuracy=0.7194999999999999

counter#203  epoch: 1, test mean loss=0.5276198618048246, test accuracy=0.7145

counter#204  epoch: 1, test mean loss=0.5293135846340732, test accuracy=0.7145000000000004

counter#205  epoch: 1, test mean loss=0.5285177584240843, test accuracy=0.713

counter#206  epoch: 1, test mean loss=0.5274454047699451, test accuracy=0.7115000000000002

counter#207  epoch: 1, test mean loss=0.5265906647601556, test accuracy=0.7145000000000001

counter#208  epoch: 1, test mean loss=0.5261238652712232, test accuracy=0.7150000000000002

counter#209  epoch: 1, test mean loss=0.5250803775837994, test accuracy=0.7184999999999999

counter#210  epoch: 1, test mean loss=0.5265919244835437, test accuracy=0.7145

counter#211  epoch: 1, test mean loss=0.5266210484214586, test accuracy=0.716

